Index,length_sum,length_mean,travel_time,count,max
9037,21505.83793,467.5182158,56.1021859,49,0.302868567
9038,69990.89478,276.6438529,33.19726235,243,0.36583621
9039,40179.63483,259.2234505,31.10681406,135,0.425680876
9040,134912.7212,253.5953407,30.43144088,222,0.289423923
9041,14305.56198,131.2436879,15.74924255,100,0.47897495
9042,995770.5201,336.4089595,40.30261903,1179,0.307391692
9043,37543.59679,341.3054253,40.44505119,107,0.456206065
9044,62761.50068,424.0641938,50.88770325,128,0.227763162
9045,90261.3949,197.9416555,23.75299866,205,0.423277433
9046,41400.80457,289.5161159,34.7419339,132,0.381515513
9047,58995.86884,289.1954355,34.48090206,93,0.384567592
9048,38874.89813,237.0420618,28.24259426,146,0.438944301
9049,20745.65227,162.0754084,17.57297897,60,0.354027282
9050,10372.82614,162.0754084,17.3935936,60,0.354027282
9051,22106.83891,179.7303976,21.33550568,118,0.341920314
9052,66666.7983,83.33349787,9.679877065,373,0.270551796
9053,41913.43247,183.8308442,22.0597013,200,0.404126547
9054,116726.9413,296.2612723,35.55135268,176,0.359208204
9055,14617.55574,270.6954766,32.48345719,50,0.314010837
9056,20806.56302,125.3407411,14.63118397,148,0.468810051
9057,157393.0795,507.7196112,59.21472478,141,0.296836112
9058,250181.2414,95.41618665,8.720866037,1105,0.459606212
9059,63374.60785,229.6181444,27.33557327,136,0.299200301
9060,43406.05551,227.2568351,26.37009578,163,0.381384091
9061,36272.18631,268.6828616,32.24194339,118,0.319727222
9062,61610.83047,240.6673065,28.88007678,108,0.28948567
9063,95356.31779,81.22343935,8.871106256,492,0.302466893
9064,53373.54565,184.6835489,21.77324948,273,0.472244125
9065,32684.00942,289.2390214,28.95170688,108,0.343016581
9066,59501.54542,156.1720352,13.45205354,325,0.398725434
9067,48242.53821,234.1870787,26.88633573,90,0.321989917
9068,35273.6494,265.215409,31.82584908,120,0.236953267
9069,34696.84508,189.6002464,22.75202956,166,0.325254009
9070,33974.7189,226.498126,25.83223641,68,0.343563371
9071,37114.85414,325.568896,39.06826752,50,0.373964872
9072,16829.45991,305.9901801,36.71882161,50,0.373964872
9073,35402.69109,244.1564903,29.16995253,139,0.358826137
9074,62575.93521,181.9067884,20.05888518,161,0.478891694
9075,37646.04358,238.2660986,28.1492275,143,0.393453404
9076,22536.67451,271.526199,30.73424838,80,0.369224188
9077,292150.407,165.2434429,19.67166926,729,0.297387458
9078,138933.1944,264.1315483,31.60856607,212,0.290659732
9079,69466.59722,264.1315483,31.58202254,212,0.290659732
9080,14076.45827,149.7495561,17.96994673,87,0.325458376
9081,26542.94642,212.3435713,24.57777585,119,0.310227717
9082,80046.70403,360.5707389,43.26848866,94,0.349297792
9083,29489.72057,475.6406544,57.07687853,30,0.497252891
9084,13882.10259,462.736753,55.52841036,30,0.497252891
9085,99882.04975,402.7502006,39.44894522,111,0.285447536
9086,20129.1968,304.9878303,36.59853964,57,0.407701175
9087,79936.4955,283.46275,34.01553,130,0.40173667
9088,57356.22626,247.2251132,28.97774442,101,0.37984407
9089,16420.87681,154.9139321,18.58967186,50,0.491089091
9090,40667.33217,290.4809441,33.55372443,66,0.342772851
9091,40993.15215,150.1580665,17.82747744,243,0.369257948
9092,84909.89103,385.9540501,46.31448602,101,0.335308897
9093,41693.66415,382.5106803,45.90128163,101,0.335308897
9094,20194.31433,262.2638224,31.47165869,72,0.355508036
9095,39158.05278,815.7927663,97.89513196,23,0.401958808
9096,16328.52127,441.3113856,52.95736627,38,0.372381575
9097,25873.68602,311.7311569,37.40773883,74,0.478719937
9098,30434.28704,307.4170408,36.8900449,87,0.377639565
9099,57084.67088,152.6328098,10.24040806,169,0.374145903
9100,58720.50585,305.8359679,24.48042891,170,0.325208994
9101,57039.95497,251.2773347,28.78981417,196,0.424832294
9102,69826.3228,338.962732,40.67552784,180,0.352303599
9103,153806.1803,219.097123,26.29165476,304,0.347859307
9104,102769.0779,285.469661,28.13828278,164,0.284397132
9105,55361.75775,354.8830625,42.5859675,144,0.348608438
9106,15148.72301,420.7978615,29.50022144,20,0.464866908
9107,40500.54381,256.3325557,30.75990669,153,0.312657487
9108,63661.3556,293.3703023,35.20443628,184,0.320988899
9109,89096.98521,253.1164352,29.57066843,156,0.359468006
9110,11129.37917,182.4488388,21.89386066,57,0.430320087
9111,36301.36898,270.9057387,32.50868864,60,0.342375609
9112,18150.68449,270.9057387,32.50868864,60,0.342375609
9113,65203.302,173.4130372,19.89313132,166,0.46305981
9114,125134.4462,260.696763,30.99931528,212,0.425089075
9115,61444.98928,258.1722239,30.69398154,212,0.425089075
9116,106758.6571,85.13449528,9.542027579,977,0.255837613
9117,78646.62734,223.4279186,26.81135023,158,0.407652411
9118,46847.38615,234.2369307,28.10843169,169,0.330222432
9119,46589.12438,258.8284688,31.05941626,79,0.369131131
9120,19106.54969,207.679888,24.47240395,43,0.38710167
9121,152032.3602,628.2328933,75.38794719,112,0.422282619
9122,81318.10664,423.5318054,48.3986498,83,0.391684831
9123,118565.5212,263.4789359,31.61747231,186,0.486518945
9124,6501.551606,216.7183869,26.00620642,14,0.450756405
9125,3250.775803,216.7183869,26.00620642,14,0.450756405
9126,35014.95428,194.5275238,23.34330285,166,0.268787804
9127,76679.57798,333.3894695,40.00673634,107,0.344888362
9128,69918.11936,364.1568717,43.6988246,85,0.365332259
9129,21820.68067,218.2068067,26.18481681,84,0.424635114
9130,23731.26289,252.4602435,30.29522922,86,0.244833193
9131,98893.83116,171.6906791,20.34998849,241,0.424520656
9132,198188.8558,134.2742925,16.06193262,1259,0.307312721
9133,168260.3198,367.380611,44.08567332,199,0.340066587
9134,163854.0763,324.4635175,38.70587632,423,0.272331343
9135,65749.78647,198.0415255,23.76498306,290,0.335310421
9136,48379.00061,326.8851393,39.22621671,68,0.348794491
9137,24189.50031,326.8851393,39.22621671,68,0.348794491
9138,30246.62206,315.0689798,37.80827758,41,0.413554887
9139,144040.8817,567.0900853,57.23408783,105,0.470486595
9140,134379.277,103.3686746,12.40424095,478,0.361585869
9141,66621.86768,102.9704292,12.3564515,478,0.361585869
9142,183312.8796,264.5207498,31.36694712,541,0.415655946
9143,235579.2984,189.3724263,22.61476577,943,0.363118537
9144,177782.584,231.7895489,26.50647611,651,0.396129374
9145,73678.32747,537.7980107,64.53576129,121,0.429860234
9146,135327.3013,148.7113201,17.84535841,715,0.465369227
9147,137968.4844,269.9970341,31.77025203,406,0.468106794
9148,92387.46879,524.9288,62.991456,141,0.448351519
9149,43248.31148,146.1091604,16.36140666,244,0.391707579
9150,88682.92619,327.2432701,39.26919241,209,0.494337255
